Facture;Client;Date;Pieces;Poids net kg;Poids brut kg;Colis;kg par piece;Pieces par colis;Remarque
FAC 32-2026;MALISHOP;2026-06-05;400;160,000;165,000;7;0,4000;57,14;Nettement sous la moyenne (0,618) : format plus leger ou poids a verifier
FAC 33-2026;WIDA;2026-06-11;9770;5900,000;6000,000;279;0,6039;35,02;
FAC 34-2026;MALISHOP;2026-06-15;470;200,000;205,000;10;0,4255;47,00;Nettement sous la moyenne (0,618) : format plus leger ou poids a verifier
FAC 35-2026;SARA;2026-06-15;360;135,000;140,000;6;0,3750;60,00;Nettement sous la moyenne (0,618) : format plus leger ou poids a verifier
FAC 36-2026;SEMI FERMETURE;2026-06-17;0;0,000;0,000;4;;;Quantite absente du classeur : poids unitaire indeterminable
FAC 37-2026;SEMI FERMETURE;2026-06-17;0;0,000;0,000;160;;;Quantite absente du classeur : poids unitaire indeterminable
FAC 38-2026;SABRI;2026-06-17;2220;1392,000;1406,000;42;0,6270;52,86;
FAC 39-2026;WIDA;2026-06-18;5950;3700,000;3800,000;170;0,6218;35,00;
FAC 40-2026;WIDA;2026-06-25;7280;4500,000;4600,000;208;0,6181;35,00;
FAC 41-2026;MALISHOP;2026-06-25;346;160,000;165,000;8;0,4624;43,25;Nettement sous la moyenne (0,618) : format plus leger ou poids a verifier
FAC 42-2026;WIDA;2026-06-29;4500;3500,000;3600,000;163;0,7778;27,61;Nettement au-dessus de la moyenne : format plus lourd ou poids a verifier
FAC 43-2026;SEMI FERMETURE;2026-06-30;0;75,000;80,000;4;;;Quantite absente du classeur : poids unitaire indeterminable
FAC 44-2026;WIDA;2026-07-02;6160;3800,000;3900,000;176;0,6169;35,00;
FAC 45-2026;WIDA;2026-07-09;4510;2850,000;2900,000;129;0,6319;34,96;
FAC 46-2026;WIDA;2026-07-16;6450;4300,000;4330,000;193;0,6667;33,42;
FAC 47-2026;SEMI FERMETURE;2026-07-20;0;0,000;0,000;4;;;Quantite absente du classeur : poids unitaire indeterminable
FAC 48-2026;WIDA;2026-07-23;3780;2350,000;2400,000;108;0,6217;35,00;
FAC 49-2026;WIDA;2026-07-30;6615;4100,000;4200,000;189;0,6198;35,00;
FAC 50-2026;SEMI FERMETURE;2026-08-05;0;0,000;0,000;232;;;Quantite absente du classeur : poids unitaire indeterminable
FAC 51-2026;WIDA;2026-08-06;4900;3000,000;3100,000;144;0,6122;34,03;
FAC 52-2026;MALISHOP;2026-08-06;600;190,000;200,000;10;0,3167;60,00;Nettement sous la moyenne (0,618) : format plus leger ou poids a verifier

ENSEMBLE;39 factures exploitables;;162136;100177,000;102341,000;4768;0,6179;34,01;Moyenne ponderee reelle
;Fiche produit actuelle;;;;;;0,650;;Ecart : 5211 kg de trop dans le rapprochement
